,0_bdod_0-5cm_mean,0_bdod_100-200cm_mean,0_bdod_15-30cm_mean,0_bdod_30-60cm_mean,0_bdod_5-15cm_mean,0_bdod_60-100cm_mean,1_cec_0-5cm_mean,1_cec_100-200cm_mean,1_cec_15-30cm_mean,1_cec_30-60cm_mean,1_cec_5-15cm_mean,1_cec_60-100cm_mean,2_cfvo_0-5cm_mean,2_cfvo_100-200cm_mean,2_cfvo_15-30cm_mean,2_cfvo_30-60cm_mean,2_cfvo_5-15cm_mean,2_cfvo_60-100cm_mean,3_clay_0-5cm_mean,3_clay_100-200cm_mean,3_clay_15-30cm_mean,3_clay_30-60cm_mean,3_clay_5-15cm_mean,3_clay_60-100cm_mean,4_nitrogen_0-5cm_mean,4_nitrogen_100-200cm_mean,4_nitrogen_15-30cm_mean,4_nitrogen_30-60cm_mean,4_nitrogen_5-15cm_mean,4_nitrogen_60-100cm_mean,5_ocd_0-5cm_mean,5_ocd_100-200cm_mean,5_ocd_15-30cm_mean,5_ocd_30-60cm_mean,5_ocd_5-15cm_mean,5_ocd_60-100cm_mean,6_soc_0-5cm_mean,6_soc_100-200cm_mean,6_soc_15-30cm_mean,6_soc_30-60cm_mean,6_soc_5-15cm_mean,6_soc_60-100cm_mean,7_phh2o_0-5cm_mean,7_phh2o_100-200cm_mean,7_phh2o_15-30cm_mean,7_phh2o_30-60cm_mean,7_phh2o_5-15cm_mean,7_phh2o_60-100cm_mean,8_sand_0-5cm_mean,8_sand_100-200cm_mean,8_sand_15-30cm_mean,8_sand_30-60cm_mean,8_sand_5-15cm_mean,8_sand_60-100cm_mean,9_silt_0-5cm_mean,9_silt_100-200cm_mean,9_silt_15-30cm_mean,9_silt_30-60cm_mean,9_silt_5-15cm_mean,9_silt_60-100cm_mean,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temp of Wettest Quarter,Mean Temp of Driest Quarter,Mean Temp of Warmest Quarter,Mean Temp of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter
0_bdod_0-5cm_mean,0.0,0.07401851073401855,0.16434994933373565,0.10168417863619156,0.25564869021192094,0.08195783779384286,0.03348128315325355,0.012623224657116499,0.015740896219209648,0.01484603552462215,0.02361819417269935,0.0130622687599358,0.008035789270823851,0.00993596632315745,0.0080999028560657,0.011893285818796801,0.01242182344132475,0.00709353787413755,0.0137753696742305,0.0145612827232804,0.0151311204724221,0.0188939481852087,0.01248547454283855,0.02018527096410265,0.07702813443095095,0.04130523821106115,0.0606901221286719,0.04639606332183125,0.0719715364779559,0.03786564603648275,0.089383854700339,0.0195218008387454,0.06405858501665355,0.0375577665680542,0.0750470673870881,0.016612400954467303,0.09264714606429181,0.04853151717594735,0.07851891901223254,0.0590811336236342,0.09617661993933885,0.05259120783842795,0.0444632356921208,0.036178093979836,0.04218151289835735,0.03446602433314145,0.03963935235135145,0.0347035732516071,0.0111888044052419,0.01346068102293215,0.0076357839311724,0.012575106731740851,0.0128999431960635,0.0115542288305302,0.01053787142233055,0.01281441613283135,0.0128218229019637,0.01268583775454105,0.01059109085374495,0.01155520226528525,0.05253154146678955,0.04794955527761835,0.0623282539988643,0.0528067879299378,0.08284041124862485,0.05910298266100545,0.03547750175681405,0.0547502811237189,0.0570391446641559,0.0828125274431739,0.0565321042402589,0.05253120531823145,0.04475198331524795,0.046140842169763455,0.046923254830527256,0.0461870600778501,0.0534621342885579,0.056783112966459104,0.04377256103689655
0_bdod_100-200cm_mean,0.07401851073401855,0.0,0.1308186462141325,0.2556351454937209,0.10214010374309265,0.4016971083179878,0.012227365608526101,0.01857441572603805,0.014184973710808301,0.013474649708169799,0.017728704367710547,0.01228998452292105,0.02208199093226915,0.0191478437660172,0.01869611193664155,0.017449318557612052,0.0162210058522889,0.0192175869431934,0.0148458678862609,0.0183042940614319,0.01282595750029805,0.01385529553872995,0.010457493516305049,0.01637327420962545,0.02262184490276605,0.016768265419408,0.024543348379022,0.0189108612615176,0.0242749117978762,0.01543462182657865,0.03491921473334235,0.0110241056831702,0.021827052560444753,0.02394447851561965,0.0340596696526157,0.017011756244750202,0.0269967056388232,0.0255076637028733,0.0290109087258487,0.02771022896363545,0.0298298165204826,0.0240143233171644,0.03601495911461765,0.040932283250886756,0.041352728598966146,0.03909412050700105,0.03619797321788615,0.041275719408862,0.0177441834885972,0.016535470269847252,0.0170308988641934,0.0148904851612064,0.0159724700683901,0.01606942470813755,0.0206017598133623,0.0155371331203121,0.0179007167265443,0.017974562601651402,0.018157185842583252,0.01629621264165065,0.0420227673897889,0.0318228112839979,0.05560902492371765,0.06298188488894799,0.03976431135867,0.0539687525736526,0.0545902061528672,0.0359549936423498,0.0455103980023598,0.0376472789211128,0.05206196193217645,0.06470875830452094,0.06326879872697065,0.0282937852736987,0.038746995086090544,0.06597635030232071,0.036658248118513106,0.0556781808526,0.03750716598172135
0_bdod_15-30cm_mean,0.16434994933373565,0.1308186462141325,0.0,0.19394593021823994,0.25508687265852364,0.15390453160062473,0.0117370336670025,0.0117337783231881,0.01288286296183695,0.01010224312389895,0.0168308520359046,0.008689744058019401,0.00880610813618335,0.02025909197295095,0.0190402167568714,0.02077489629976495,0.0142842105152209,0.02072588611573195,0.0123570533363237,0.0123496299207675,0.00989585903088565,0.0136436284298626,0.0076011605503018,0.01220242830160515,0.0404838820252156,0.02201367081187295,0.0428212746682214,0.03561685925476115,0.05464228393422,0.02940373087950275,0.06273135546814221,0.018017128903897797,0.04747804341578325,0.035437476578725494,0.059444452295356595,0.01750980989838315,0.0540954694083927,0.050064637668276804,0.05943336649815755,0.0523898185243061,0.070442160506234,0.05217651710771745,0.0381979352179217,0.0381082846258196,0.039786921018694146,0.03540473450675895,0.039908523874743945,0.03289469226727595,0.021651496598902698,0.01303403674639725,0.018757371774329748,0.02045368512171685,0.019416840659070997,0.014286816106242401,0.01696425548237905,0.01966632477114425,0.01588020763915355,0.01779795681070345,0.0161193418366821,0.018350095655830102,0.03573313094169015,0.035379378116753846,0.0443870016373629,0.04990807759097315,0.04769568423742755,0.0387547960155903,0.0372428234550401,0.03590562841778845,0.04452292615245055,0.0504067839573056,0.041495075126000744,0.04293513400434415,0.04378284450749105,0.044555539973788846,0.03542504691708985,0.0481348454307504,0.04512235257051195,0.04056579079990885,0.03892656684685545
0_bdod_30-60cm_mean,0.10168417863619156,0.2556351454937209,0.19394593021823994,0.0,0.13800119585216403,0.30597143964495943,0.00569883152658395,0.0109004273736702,0.01363222749179975,0.010595802781256651,0.0161719076877416,0.01064810320963105,0.020879954594021602,0.018844068999792803,0.01860556527147685,0.0225831471820026,0.0226523461245559,0.0241380797702759,0.014081828523055749,0.0155477097356475,0.0110063716397977,0.01179439012243015,0.013692715213192,0.01367293243507805,0.0265813227021274,0.0195105363015711,0.028488616379668402,0.02593714613654565,0.032397027361599,0.02136938231378055,0.036561634914329,0.0160281252103918,0.02711978852288575,0.02297905595372375,0.04692613111339235,0.017010691883942698,0.0338711646380212,0.0370027993509321,0.042807030418268555,0.03804985466606965,0.0452658384543609,0.03886350284327235,0.0387971874709523,0.040667208562888454,0.0377943138470634,0.0400017177535707,0.03584569357771885,0.035885369985645496,0.01388846534085025,0.0208885677877199,0.0200970259472937,0.0244069394806392,0.0186028366545134,0.02380431899390915,0.016312127717484103,0.01378083186547355,0.01898770656166805,0.01685158460382565,0.0192273872208523,0.0111467086702345,0.0368048519982982,0.037322381812847305,0.054151592477588203,0.056519902265543945,0.038889319933286454,0.045545316281012244,0.043117380788402354,0.028605965905141348,0.0443912565007913,0.03925578943124995,0.0412356818741523,0.0549911937777923,0.05654464801374515,0.0321788640787803,0.033158952371044104,0.06062444181755265,0.0369840845936953,0.052425078268505204,0.034190238655643995
0_bdod_5-15cm_mean,0.25564869021192094,0.10214010374309265,0.25508687265852364,0.13800119585216403,0.0,0.11140462184770755,0.02084429140454195,0.01344975059821785,0.01447941798394115,0.0070346550019445495,0.017825252930546,0.00853835469104815,0.011297276422084099,0.018156359830928052,0.02140297630410145,0.017645146591449452,0.01380798987867465,0.016579255818037902,0.0089801516214922,0.0086152703393492,0.00833001665159585,0.011179753526665101,0.009696629531726151,0.01059980196174555,0.0546737355113138,0.03279290746043215,0.05048638699863195,0.03837456544392845,0.06221397225381135,0.03747728234230635,0.07066213286328554,0.018145905575204853,0.0566472906174018,0.03337972732231005,0.0688272665843025,0.0241589525359431,0.06856066497374791,0.04948783984444845,0.06739841387128825,0.05251640751362465,0.07589963771968365,0.050341777613950395,0.0346928755288933,0.02872306635444275,0.0352968935305829,0.0337539287808381,0.03238702999959085,0.031055876637837702,0.011062170529065149,0.00847360437400975,0.01204199586841995,0.0104227491399235,0.012308576626788251,0.01104225884034065,0.0140855090226544,0.0155687833974606,0.0133025098957077,0.01368865149991465,0.0160505553403539,0.01507226053104875,0.04118805498850655,0.045137513627967904,0.0497050404646217,0.05014918739558955,0.0631729403675135,0.046697540877695204,0.0354801266614549,0.041250277511087896,0.0509160788009795,0.0654774072001615,0.04615270910950185,0.04253451086002885,0.04848709151456845,0.04253794745107485,0.04253003080971765,0.0531133828041019,0.046537341284975456,0.047757205343978204,0.033162414226745845
0_bdod_60-100cm_mean,0.08195783779384286,0.4016971083179878,0.15390453160062473,0.30597143964495943,0.11140462184770755,0.0,0.01251437180338655,0.0124991100025615,0.0119404781547004,0.0117925990217647,0.0147076947544851,0.0092910136522053,0.02390572001615015,0.019930117239487802,0.019675296131248597,0.02266713078435095,0.0171229413850621,0.020284196402698247,0.0165951171939079,0.01396821740474315,0.01273347508202445,0.0151518089705423,0.012505848062936649,0.01682516543201725,0.027809829523481898,0.01880535214243015,0.03325717828916785,0.0215221192956179,0.02885489506741425,0.0206735428099486,0.03890220420158905,0.01251424996399195,0.0251818384817089,0.02406707592963235,0.03481184518810845,0.01836523685144615,0.026957860766410352,0.02996033307742535,0.03535111066906885,0.03205183319223455,0.035404413161947645,0.0301701281745193,0.0376157572290862,0.03896657288845695,0.033105370888289,0.03607388909966375,0.034353864353040095,0.0369234898787644,0.01584135431302095,0.0182768213650266,0.017063839065238902,0.014597602924657251,0.0187682551737683,0.01563908508387645,0.02225143304040835,0.0185307806734926,0.017388624669243548,0.01729883170898725,0.018598166773781698,0.01920901028116475,0.043629357415423495,0.03235412487762375,0.05846880736867145,0.062178827202120895,0.0381273521497382,0.05357210685591965,0.0520132874545899,0.038960426388630745,0.0491768139991421,0.04062586821566045,0.0508985511879042,0.0596508716192697,0.060462573976984055,0.034143267735372046,0.0419894817355793,0.06449292321167979,0.0394035975886328,0.05676659575727825,0.0402426791482573
1_cec_0-5cm_mean,0.03348128315325355,0.012227365608526101,0.0117370336670025,0.00569883152658395,0.02084429140454195,0.01251437180338655,0.0,0.13353875255606912,0.18422151752732385,0.1576840582992686,0.2355532945175166,0.14422962326712174,0.01371216461792705,0.00946563653324105,0.008163630199058199,0.0102941176525005,0.015437472769768049,0.012817408921431,0.0203557098625346,0.0124122347354883,0.015401452474422251,0.01806681190287575,0.0163635056310868,0.01265477644805785,0.060103964708674754,0.03967330170031095,0.04393987540882695,0.045580444357564004,0.05062168316099365,0.040549471150446506,0.0500914736787819,0.0245676209809634,0.048716482780463546,0.036012888116659744,0.05016212087707425,0.0220620525575286,0.057304446519715196,0.0297810054956715,0.03923120811174975,0.028628899718370897,0.0440250984330534,0.030087337668116748,0.0262672179772141,0.0271914330819958,0.0268430066270142,0.02663430574680575,0.027827730347232203,0.02902902821381085,0.0273727895274553,0.02128149384702455,0.02966547745135765,0.024301327962621952,0.02767912708525915,0.018779260952912602,0.0276556986788996,0.02875380970268095,0.027616926502217948,0.02736073097347165,0.029551956974031998,0.027898835021383052,0.055153570219583545,0.018455246078840602,0.06725108714696605,0.053513827590376054,0.055769827469042896,0.06060498999816655,0.04574608778104075,0.05634195108365915,0.0447361935615458,0.057448067438739356,0.0562979589849984,0.04937949351484495,0.0550471091756308,0.0273456244919977,0.04377401286974485,0.060325036749148145,0.029424813931942302,0.044731289641924146,0.04143338365725865
1_cec_100-200cm_mean,0.012623224657116499,0.01857441572603805,0.0117337783231881,0.0109004273736702,0.01344975059821785,0.0124991100025615,0.13353875255606912,0.0,0.2616395866027338,0.32240804248355964,0.2025297729932322,0.41787245827616093,0.013442459304393601,0.0079659537262056,0.006507759832678249,0.0076321258918872,0.01805367282813165,0.00727979675317025,0.01411941622641585,0.00648056386780805,0.005741842714331201,0.00588967389082665,0.0164327953122428,0.004570528556137,0.0153021094261315,0.023074208115820997,0.0171559761340664,0.02560763813116235,0.011977733569364699,0.022941408397131102,0.010051074010429,0.02789656974220615,0.02439243113234835,0.024782910486728,0.02229250038418225,0.02383725737698765,0.01354653579104975,0.01635998051028275,0.00900292333809765,0.012970848202344249,0.01177254597973645,0.01398139288011035,0.03576252595344785,0.0403181722051598,0.039316132915905896,0.0393478627333094,0.03781913036527935,0.04013260642353355,0.02302357023536695,0.0140555919050344,0.0151788638260664,0.01104864467790745,0.020881214111044398,0.00992876936673965,0.01720237391862075,0.02060078845762205,0.02186535155625095,0.01648994147788485,0.0193648795030875,0.01754576308600505,0.02708701385186095,0.01756204098703735,0.048678090336698246,0.049455129713544446,0.028348597410338648,0.039119096715757154,0.0374131278271389,0.03073781866688735,0.032075537733169956,0.036432507524824645,0.032322893672762545,0.0397501886852824,0.0424838218014007,0.0187942758845979,0.0249998268288166,0.04393212814766145,0.0250827497773124,0.029763369600062102,0.0294631913037674
1_cec_15-30cm_mean,0.015740896219209648,0.014184973710808301,0.01288286296183695,0.01363222749179975,0.01447941798394115,0.0119404781547004,0.18422151752732385,0.2616395866027338,0.0,0.38321223278618877,0.3392578472117509,0.29884308515593183,0.012436893986383,0.00802228718487985,0.012320538183397099,0.0116179481046665,0.015871843900988253,0.010670937294226999,0.00899316136324075,0.0034461607758708,0.00892137742351905,0.0075357151650783,0.0138506151557096,0.0036167678827484,0.02037117511795985,0.0273409178012414,0.024974690439253003,0.0295649238902751,0.0207466281543328,0.02897167879517535,0.02068996305712805,0.0275912654806355,0.041348169035820254,0.032594776218154,0.0345456016680428,0.02713303573020965,0.02478505098853405,0.0273617511270769,0.0219027259893634,0.021588896017719753,0.01738750156313025,0.0251689331898565,0.029451960286478653,0.04074398609632775,0.03737455415849075,0.0393285083757296,0.03591324125791345,0.0409559380839145,0.02605014906747245,0.0131518144646886,0.0212860762176812,0.0095143365650452,0.02561601224939785,0.0081736668255911,0.01863182055895595,0.0270636825504955,0.0261266054012489,0.02321595299476465,0.023132170007084403,0.0237002721550561,0.039426527656653096,0.01421632195424695,0.053607917186190304,0.04994040405776995,0.03279132116614045,0.04600263331741895,0.041606047542655095,0.04466062199852951,0.0343453135548301,0.0421171314335648,0.040850881856801,0.042972079134584104,0.04740691044398885,0.02462844061511365,0.031869912146996096,0.052461265203784205,0.02611405871238965,0.034778725784783956,0.028591198787545402
1_cec_30-60cm_mean,0.01484603552462215,0.013474649708169799,0.01010224312389895,0.010595802781256651,0.0070346550019445495,0.0117925990217647,0.1576840582992686,0.32240804248355964,0.38321223278618877,0.0,0.2623116640499075,0.39206914341939886,0.011128583010958652,0.00791661720127585,0.015022211755227,0.0068341479080752995,0.01737244497283085,0.0081226158897575,0.0130541724167581,0.0057687061417318,0.00916065606194705,0.008047577359770401,0.0125539610732929,0.0055331239121061,0.0170031849619111,0.02632255508122735,0.0207621370894868,0.02291218331553215,0.01818004263896905,0.025851731077837697,0.013175755317625899,0.02647957727074665,0.02874362942241695,0.0338432206698947,0.031785545903042445,0.0276136681032219,0.01678241679280645,0.01952383483373235,0.01704004197289485,0.0204994707853558,0.0176516704023058,0.018090141758621052,0.03402034585925965,0.04372715927296235,0.04005108794605505,0.0452464639937917,0.0406941982737642,0.044180112087498655,0.0257917766827237,0.01559166119872755,0.021716836627859247,0.0111192610168953,0.02691313442801805,0.0103045937191369,0.01888548746224615,0.0232186512347133,0.02433890198351995,0.0214990986642756,0.01905888655582695,0.0242475127369412,0.032227543527118846,0.014771700056253199,0.05080922276865975,0.049387721727325654,0.03091062874716935,0.0400862071107059,0.04037968036474105,0.03736666783786005,0.03331779171701631,0.0375032271662572,0.0355551586662609,0.04506062211587725,0.043813225738358,0.0226808259815619,0.0289885991419088,0.04879062237535085,0.0253116115943062,0.0356089549642529,0.02904750857220205
