,0_bdod_0-5cm_mean,0_bdod_100-200cm_mean,0_bdod_15-30cm_mean,0_bdod_30-60cm_mean,0_bdod_5-15cm_mean,0_bdod_60-100cm_mean,1_cec_0-5cm_mean,1_cec_100-200cm_mean,1_cec_15-30cm_mean,1_cec_30-60cm_mean,1_cec_5-15cm_mean,1_cec_60-100cm_mean,2_cfvo_0-5cm_mean,2_cfvo_100-200cm_mean,2_cfvo_15-30cm_mean,2_cfvo_30-60cm_mean,2_cfvo_5-15cm_mean,2_cfvo_60-100cm_mean,3_clay_0-5cm_mean,3_clay_100-200cm_mean,3_clay_15-30cm_mean,3_clay_30-60cm_mean,3_clay_5-15cm_mean,3_clay_60-100cm_mean,4_nitrogen_0-5cm_mean,4_nitrogen_100-200cm_mean,4_nitrogen_15-30cm_mean,4_nitrogen_30-60cm_mean,4_nitrogen_5-15cm_mean,4_nitrogen_60-100cm_mean,5_ocd_0-5cm_mean,5_ocd_100-200cm_mean,5_ocd_15-30cm_mean,5_ocd_30-60cm_mean,5_ocd_5-15cm_mean,5_ocd_60-100cm_mean,6_soc_0-5cm_mean,6_soc_100-200cm_mean,6_soc_15-30cm_mean,6_soc_30-60cm_mean,6_soc_5-15cm_mean,6_soc_60-100cm_mean,7_phh2o_0-5cm_mean,7_phh2o_100-200cm_mean,7_phh2o_15-30cm_mean,7_phh2o_30-60cm_mean,7_phh2o_5-15cm_mean,7_phh2o_60-100cm_mean,8_sand_0-5cm_mean,8_sand_100-200cm_mean,8_sand_15-30cm_mean,8_sand_30-60cm_mean,8_sand_5-15cm_mean,8_sand_60-100cm_mean,9_silt_0-5cm_mean,9_silt_100-200cm_mean,9_silt_15-30cm_mean,9_silt_30-60cm_mean,9_silt_5-15cm_mean,9_silt_60-100cm_mean,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temp of Wettest Quarter,Mean Temp of Driest Quarter,Mean Temp of Warmest Quarter,Mean Temp of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter
0_bdod_0-5cm_mean,0.7181050075570634,0.07367872282530634,0.16296460825083425,0.10118308258403746,0.25319016324866783,0.08173525147501703,0.033471632544790964,0.013079859932326002,0.015742624007949294,0.015469231319586744,0.024119661659015933,0.012578024221673643,0.008140954049410341,0.009635731313861915,0.00872300437510191,0.012461921794809842,0.012467607798070358,0.006957886208826505,0.013925263981509228,0.01509461807745361,0.015722225278083427,0.019146467349652266,0.011471892410341711,0.01925321646483347,0.07710417066848983,0.04142989632508549,0.0609147832085105,0.04705944733130015,0.07143372071368866,0.03788532231820511,0.08974640610448435,0.019660313890743925,0.06478788712251493,0.03721316079668982,0.07566356921594862,0.01588149127254109,0.09319410315337655,0.048629473183144464,0.07854031328628391,0.059062158412619116,0.09612784275529207,0.05227063793283362,0.04431003896964683,0.036028449511749654,0.04116211508186556,0.03386110327617314,0.03986657279125121,0.03477499300729177,0.01154334803339022,0.01319110960983525,0.007919045820088764,0.011727546557668254,0.012891374568209766,0.011835502817900495,0.01034803766200995,0.012451569997856194,0.012969332758235976,0.01251066556877544,0.010639675965895552,0.011191138175333397,0.052325390671462496,0.04779958223834967,0.06274041016897407,0.052184118529856445,0.08214998404219855,0.05931974821485889,0.03475706576392787,0.05484559895674177,0.056050203632326046,0.08222137104959211,0.05579767705887005,0.05295812996691891,0.04418075296169065,0.04526268878063272,0.046989931231243766,0.04583218679318337,0.05370921542354683,0.05661701209211341,0.04434397102406074
0_bdod_100-200cm_mean,0.07435829864273086,0.6945285265967553,0.13153618987013052,0.2571236615573019,0.10334823344642173,0.401781707092527,0.012235167895053337,0.018948875137685246,0.013396247427327942,0.013460840423699117,0.017273386543377248,0.01134925273054727,0.02188243769609438,0.019753505611181162,0.018672306547997748,0.016981510587233177,0.016325796871400382,0.01875703897074259,0.014099577701169118,0.018074084650443963,0.012412851560941964,0.015273043710683793,0.009641352924615395,0.015218677556942293,0.021989028127980897,0.016264855662208588,0.024465115966973205,0.01796648525388333,0.02392400798822651,0.014477035285992652,0.03483100397556235,0.011354244189379099,0.02166825519714645,0.024808735520858896,0.0339177735887983,0.017188424078315976,0.02702493540665609,0.025727429307585516,0.0285919946659974,0.0275330775137786,0.029818035378840417,0.02415766237147333,0.03586016283860952,0.04124863067866761,0.04161507397185851,0.03910921175122448,0.03603631533448007,0.04248312138093122,0.018209509658306568,0.016984793256522048,0.017029280627242294,0.015128335578457313,0.016160473011145125,0.016008895406518966,0.02086446938234869,0.01557280807785814,0.018116346317299033,0.01808303028856345,0.018956591788688963,0.016727203683892473,0.04246994259537275,0.031155933873778352,0.05570669831114459,0.06302776707252429,0.03947432178575145,0.05438501590279604,0.05438843979953686,0.03556064427327878,0.04518829778621517,0.03723893839540006,0.051678442852227266,0.06485971677280646,0.06256361842438404,0.027947944566636778,0.038539285350810804,0.0654297320279476,0.036344277201482124,0.05526105150135538,0.03770598632944159
0_bdod_15-30cm_mean,0.1657352904166371,0.13010110255813453,0.6919910118351073,0.19440593764713568,0.2553596435010293,0.1532188562983623,0.012341703849137022,0.011804531770612378,0.012950736001656202,0.009809563179553008,0.016750851562482814,0.008010078931042042,0.008522318803009759,0.019662754698131623,0.018996010555153087,0.020456700754669835,0.014419233555062179,0.01974934962282467,0.01296548309261917,0.013027353775218097,0.010067947351497923,0.014654580207801709,0.007574324060417613,0.012665200478328103,0.0400313979031102,0.02148261477803976,0.043009216054476815,0.035286812101326864,0.05430981463614599,0.029251594470766334,0.06295515684236856,0.017951456821013196,0.04701951975976101,0.03518383250738223,0.0595437055072436,0.018030320356066894,0.054506199783358134,0.049620634263507914,0.05934776934816238,0.05209031301893148,0.07068939537275915,0.05157216908517871,0.0395934666467442,0.03646806906499684,0.040665266980077545,0.03520287007817561,0.03962489813370278,0.03178012646234327,0.022164872114481034,0.012506896536948453,0.01846779311195335,0.02072641957681548,0.019701349899868433,0.014925512666147863,0.017407870891034384,0.01920608197152323,0.015885322323608838,0.01693612174917229,0.015982788992937022,0.017988671017596377,0.03546504543961465,0.0358361306692745,0.04440488331714321,0.04936063930242175,0.0484384175841894,0.039036050133021014,0.03677831069446036,0.03571830260691529,0.04402077851181786,0.04996489133187595,0.041861492356331166,0.043233757359240045,0.04387264813714719,0.044279253937244335,0.03568156842108107,0.04734283746201397,0.04509212021214052,0.039861825101294046,0.03884148470682618
0_bdod_30-60cm_mean,0.10218527468834579,0.25414662943014,0.1934859227893443,0.6891823511775972,0.13882747421019692,0.30533878114465085,0.006082319255975967,0.011413750528581018,0.013043809316771212,0.010699227261111569,0.015815303684291356,0.010206027228022559,0.020628722806734893,0.018531588093283185,0.0181087159451751,0.023072580679857076,0.022592001824922384,0.024683074330704793,0.013330669853767168,0.016330859579544058,0.010405311658401833,0.012813256085238001,0.012517888869525281,0.014125184588136015,0.027316247430777558,0.01926863238968546,0.028631228553681318,0.025407524372117542,0.03200191982992935,0.021210441681508208,0.03634563260440205,0.016446992349233996,0.026928776066482495,0.022791667588353545,0.04700207958086689,0.016629346715320157,0.03411553814326613,0.037328040090223946,0.042795416830781814,0.038210469297057646,0.04496131242665794,0.03923551930227341,0.039145340677512595,0.041023285093128324,0.037800654485266955,0.03902767707572766,0.036162909266433355,0.03530795577075596,0.015211827466773657,0.02126806161756574,0.020284512037658978,0.0238857306698379,0.01864265251824857,0.023892368571199495,0.015723887806263378,0.01392781936618777,0.019274415753201272,0.018231175485800454,0.01897180423291167,0.011789995416773773,0.036511121039896496,0.03685973171405049,0.053861377346014275,0.05701278240302439,0.03869995676336771,0.04582757147539024,0.04307446713394133,0.02877315021690086,0.04479234874468315,0.03909222178206056,0.041877063550290146,0.05517522693446686,0.056610391883057505,0.031876549203178874,0.03371089526008981,0.06078955110159586,0.03719056660952435,0.05269648338997845,0.03452801828876404
0_bdod_5-15cm_mean,0.25810721717517415,0.10093197403976369,0.25481410181601805,0.13717491749413124,0.7027742375302765,0.11114497465933422,0.02064396394562541,0.014017935473639536,0.014275318281991085,0.007203619266052823,0.017404955358695077,0.008984893989931539,0.01163976501157288,0.017807098341494135,0.022437448486851145,0.017831945659085514,0.01407093388340305,0.01589421199894151,0.009396683803092613,0.008246721920837228,0.008479358375641127,0.010022931242377823,0.009386022163488272,0.0105579544115847,0.054721758699096186,0.03173429899322761,0.05066813844723473,0.03770016814695543,0.0613324124570498,0.03742412342412982,0.07079123271561365,0.018367006168904784,0.056848477473921154,0.03362441745835555,0.06938400242821709,0.02490578005321478,0.0682928113033642,0.049302476181044344,0.06811617004426711,0.05239503845103389,0.07644120878405244,0.050691932795453,0.03487955269443696,0.028505286560600543,0.03505741794881536,0.03395723906612205,0.03283416751219792,0.03106643809970527,0.01131688375328583,0.008800157203770864,0.011749184047511869,0.01101181553435474,0.01281509760012808,0.010639800327126284,0.014238738843558342,0.015976825711425377,0.013640772947011463,0.013836109756290182,0.01613559359287918,0.014704978213998183,0.04114301236007685,0.04478892774805773,0.049523119001954594,0.05014238098938298,0.06250538746218817,0.046419587536575144,0.03544429254735934,0.04078164011858493,0.05061197901311107,0.06540212720328845,0.04547347240766683,0.042774149421282076,0.04930601132466955,0.04250652818351207,0.0433183243724641,0.05307213040440905,0.04609977325467276,0.04739980544819746,0.03320210074727102
0_bdod_60-100cm_mean,0.08218042411266872,0.40161250954344874,0.15459020690288722,0.3066040981452681,0.1116642690360809,0.6929090705688975,0.012526471778084306,0.012319670233450706,0.011182781743082326,0.010866925055571387,0.013671014106999639,0.008578731812174346,0.023313833674999902,0.02052181696754187,0.01958669103978004,0.022719790290829982,0.016649329978332055,0.020443063160061954,0.016614992483278253,0.013121367890774442,0.012089256815010009,0.01685399363912513,0.012837399443738108,0.01675472968882834,0.027640941263079224,0.01858358272538722,0.03348613596158298,0.02059097319298315,0.028709187198506958,0.021331651994293967,0.038618695249972315,0.013213278976752365,0.02518082350254069,0.023048602451647762,0.0349293254939803,0.017751290193528495,0.027426788578563246,0.030303291910916647,0.03642883571626402,0.03182196745302916,0.035108176557550295,0.030591733672039444,0.0371538543288661,0.039285118363969224,0.03399333031437242,0.03667721138323556,0.033837371312741275,0.037273354623727294,0.015429613252282029,0.017328528184648136,0.016850461095234248,0.014033965638519873,0.018220207468752907,0.01546518625591959,0.022254494283337804,0.018940828979378144,0.017563817040292907,0.017891135440901724,0.01880603526627278,0.01860428918865716,0.04267274023572736,0.0317923139735768,0.05767786024802608,0.06191514623613612,0.03897141962988691,0.05276214158165476,0.05207443652550599,0.03866800459520051,0.048424511500368535,0.03996808852118478,0.04965841667741542,0.05888439610676014,0.061290154756854835,0.033909419696717326,0.04137749682388046,0.06514991175370621,0.03893560007513896,0.05714282259234832,0.04029194430034069
1_cec_0-5cm_mean,0.03349093376171629,0.012219563321998929,0.01113236348486802,0.005315343797192068,0.02104461886345851,0.012502271828688828,0.9243180811942203,0.133161264226571,0.18404579529682222,0.1577424529579391,0.23488253508943713,0.1443829892492442,0.0140862588255189,0.009713418904909881,0.007945862276999257,0.010220299172495709,0.015400955674238848,0.012663594288169667,0.02016198705005148,0.012545701506837476,0.015438507403452121,0.01811460628696015,0.01608336733742901,0.012497108357776027,0.060276123534620425,0.03960512588311743,0.044014537139995154,0.04542118427967963,0.05063929592570726,0.040395124987363994,0.05022605810179364,0.024377125543794086,0.04873847957865536,0.035694437162265225,0.05013091444398698,0.02219550964427796,0.05739346999946963,0.02971306834572712,0.03960402843210344,0.029001443076674537,0.04375706329068822,0.030503447363161993,0.025984303171896202,0.02677287870630619,0.027673266928735632,0.02691894138407567,0.027869890655952495,0.029213664339374047,0.027418406753487497,0.021222871144408045,0.029702001609300508,0.02457470087011839,0.027726462696027084,0.01882974903519384,0.027628927405252673,0.02878595111242344,0.027752302379883197,0.027600637828532542,0.02984620578028738,0.028042619809784456,0.05495246010269217,0.018479528258186474,0.06719254218685784,0.05326919593264803,0.05565810692554965,0.06042056112019605,0.04587234323288734,0.05603694989280784,0.044604765883633025,0.05741351308157214,0.056174736260473035,0.04951381077642412,0.05523602566845892,0.026398739267792376,0.043612838218685876,0.06005390326563215,0.029120387635314066,0.04472958323576895,0.04152976892697944
1_cec_100-200cm_mean,0.012166589381907077,0.018199956314390982,0.011663024875763907,0.01038710421875944,0.012881565722796272,0.012678549771672388,0.13391624088556722,0.9060728367506348,0.2620886577624961,0.3220163676238036,0.20246587835055657,0.4177744675425482,0.013313403189763524,0.00800927063352293,0.006543254515508457,0.00783323294102828,0.018183069331901742,0.007722806614365899,0.014079963667126041,0.006389855527813651,0.0058414373283155714,0.00555650023839383,0.016520399100297234,0.0047059594380332945,0.01548744042322237,0.02343564849117608,0.017138339531056812,0.025579942738764003,0.012031701483396648,0.023064771470082446,0.010092282860808505,0.027578256176922025,0.024498250044914852,0.0247281119648605,0.02202394576064064,0.023720811875568862,0.01337022786222057,0.016339836705018852,0.009020437770648551,0.013093806357930103,0.0117859256302243,0.014082027688462099,0.03567561406798815,0.04060624509386697,0.039069251980350335,0.04039391075845969,0.037863133234281046,0.039713445851544155,0.022987129589832872,0.013880285079841893,0.015313693690962964,0.010900950398797637,0.020991134399995802,0.009845737352918287,0.017108789276711493,0.020558901629827216,0.021932451624189435,0.016700446933129397,0.01941018005009587,0.017500693786166293,0.02757005522397105,0.017398244897361734,0.048439105554723236,0.04922736482843841,0.0285774009538527,0.03898093667838555,0.03732871298028949,0.030379967603055915,0.03202348966006879,0.03633538509367255,0.03230615496344516,0.039987295530026355,0.04224941813025011,0.019327112701258486,0.02489220445520967,0.04397818352404186,0.025204460959848986,0.029546911263496588,0.029731125247977483
1_cec_15-30cm_mean,0.015739168430470157,0.014973699994288712,0.012814989922017746,0.014220645666828369,0.014683517685891396,0.012698174566318558,0.18439723975782557,0.2611905154429715,0.9071915781370928,0.3827413752450586,0.33884349744684084,0.2980914648575557,0.01250950715722488,0.00796478985553204,0.012375413533701729,0.011606666824905337,0.01571133686315376,0.01075838330447153,0.009025833794894871,0.003404365569428592,0.008723325365899358,0.0075441499102698525,0.014042904122826345,0.003906547712858139,0.02032270948895026,0.02734332580626039,0.024939607780048674,0.029722322055609894,0.02065999145451041,0.028672856092606766,0.020673897699551316,0.02757242273343763,0.041311343788294846,0.032527780667675366,0.034317267416921524,0.02777844416920346,0.024751200824158163,0.027464235972124478,0.02189843336737537,0.021938078374762943,0.01746516734476033,0.024579156748493838,0.029472456351655442,0.040423561533291144,0.03713258928486489,0.03950502940455399,0.036434443880528355,0.04127980050704811,0.026187900803974786,0.013111050963914336,0.021437811648642637,0.009580991103910171,0.025541417632520626,0.008184714880396564,0.01867532141293872,0.0271119852731762,0.0261154747191207,0.023168761808620576,0.023068666989066747,0.023635633484696376,0.03957529032386955,0.01430081869735586,0.05362324699771313,0.05023202089183248,0.03277913377600992,0.045948106743547316,0.04139701935149535,0.044640268585618724,0.034382434267022824,0.04178733154763949,0.04067921368624815,0.04282692350756822,0.04739929916143233,0.024462363164504997,0.03177263134472432,0.052332851313744676,0.025641552462344154,0.03454212278937025,0.028478545803740322
1_cec_30-60cm_mean,0.014222839729657601,0.013488458992640506,0.010394923068244905,0.010492378301401846,0.006865690737836349,0.012718272987958164,0.15762566364059818,0.32279971734331575,0.3836830903273189,0.9038288045051882,0.26251379358326943,0.391479398102952,0.011129358331644834,0.008198834852058643,0.014950339272354214,0.006843192370624323,0.01781834233452931,0.008259089384584176,0.013022758000912342,0.0059364063026589465,0.009108238105224787,0.008240641396514576,0.012235681022520727,0.005343860325992437,0.01682672357876181,0.025982500232039088,0.020939217633230887,0.022850267866944704,0.018050089775010617,0.025662561728496996,0.013206879088181552,0.026409185770303364,0.02840286008705924,0.033607285912435995,0.03165796273557463,0.027283505425565187,0.016627595830368967,0.019321095680994615,0.01680611423226974,0.02018001121461547,0.017698826710781056,0.01764481838933378,0.03424945126675109,0.04384479646249778,0.04067495954213757,0.045192440610319656,0.0417081630294844,0.043952862687866114,0.025871122988832873,0.015684543421265965,0.02196043688797905,0.010996084852337872,0.02685664394699013,0.010373490192912614,0.01911920180750301,0.023290883154915235,0.02476997652710447,0.021623879106299617,0.01926078597158833,0.02419979704990203,0.03215708189090218,0.01483391091511389,0.05078812119952612,0.049229709216519486,0.03096417558132497,0.04003593263657379,0.04061549504077684,0.03697367058447579,0.03352874675506644,0.037276601281237776,0.03514236233154772,0.04534842485739171,0.04403295192476099,0.02235798529937416,0.029263778335033734,0.04879828433366998,0.025235873759294123,0.03564233578979515,0.029221151745997397
